ICAO,IATA,Name,City,Province,Country,Lat,Lon,Elev,OffUTC,OffDST,TZone
KZ,2V1,STEVENS FIELD,,COLORADO,USA,37.277506,-107.055875,7700,-7,-6,America/Shiprock
KZ,2V5,WRAY MUNI,,COLORADO,USA,40.100322,-102.240961,3667,-7,-6,America/Denver
KZ,2V6,YUMA MUNI,,COLORADO,USA,40.104153,-102.712986,4136,-7,-6,America/Denver
KZ,2V8,MELON FLD,,COLORADO,USA,38.015286,-103.699117,4260,-7,-6,America/Denver
KZ,2VA9,AIRLIE,,VIRGINIA,USA,38.757894,-77.787217,522,-5,-4,America/New_York
KZ,2VG2,UPPERVILLE,,VIRGINIA,USA,38.971775,-77.869717,551,-5,-4,America/New_York
KZ,2W5,MARYLAND,,MARYLAND,USA,38.600536,-77.072969,170,-5,-4,America/New_York
KZ,2W6,CAPT WALTER FRANCIS DUKE RGNL,,MARYLAND,USA,38.315361,-76.550111,142,-5,-4,America/New_York
KZ,2WN2,GAFFNEY,,WISCONSIN,USA,43.654203,-89.630278,827,-6,-5,America/Menominee
KZ,2WN3,CURNS,,WISCONSIN,USA,44.357872,-88.761383,790,-6,-5,America/Menominee
KZ,2WN5,MURMURING SPRINGS,,WISCONSIN,USA,44.006356,-90.019239,910,-6,-5,America/Menominee
KZ,2WN7,PLANEACRES,,MINNESOTA,USA,43.94875,-88.673194,844,-6,-5,America/Menominee
KZ,2XS1,HARRIS RANCH,,TEXAS,USA,30.21975,-98.302611,1188,-6,-5,America/Indiana/Tell_City
KZ,2XS2,INDIO FAITH,,TEXAS,USA,28.262847,-100.162306,750,-6,-5,America/Indiana/Tell_City
KZ,2XS3,GLAD OAKS,,TEXAS,USA,32.016828,-95.700239,487,-6,-5,America/Indiana/Tell_City
KZ,2XS5,FORD ARABIAN RANCH,,TEXAS,USA,30.010489,-98.425297,1420,-6,-5,America/Indiana/Tell_City
KZ,2XS8,BENSON AIRSTRIP,,TEXAS,USA,29.229406,-99.823947,929,-6,-5,America/Indiana/Tell_City
KZ,2Y4,ROCKWELL CITY MUNI,,IOWA,USA,42.387481,-94.618033,1217,-6,-5,America/Chicago
KZ,30GA,ELLIOTT FIELD,,GEORGIA,USA,34.458981,-84.181306,1500,-5,-4,America/Kentucky/Monticello
KZ,30K,INGALLS MUNI,,KANSAS,USA,37.906967,-100.531261,2814,-6,-5,America/North_Dakota/New_Salem
KZ,31E,EAGLES NEST,,NEW JERSEY,USA,39.665397,-74.307922,35,-5,-4,America/New_York
KZ,31F,GAINES CO,,TEXAS,USA,32.675353,-102.652686,3315,-6,-5,America/Indiana/Tell_City
KZ,31VA,ABERDEEN FIELD,,VIRGINIA,USA,37.023758,-76.588564,33,-5,-4,America/New_York
KZ,31WI,MCDERMOTT AIR PARK,,WISCONSIN,USA,43.007231,-88.602044,875,-6,-5,America/Chicago
KZ,32A,DANVILLE MUNI,,ARKANSAS,USA,35.087311,-93.428797,389,-6,-5,America/Indiana/Tell_City
KZ,32S,STEVENSVILLE,,MONTANA,USA,46.525111,-114.052806,3610,-7,-6,America/Boise
KZ,33J,GENEVA MUNI,,ALABAMA,USA,31.055278,-85.880333,101,-6,-5,America/Indiana/Tell_City
KZ,33K,KINSLEY MUNI,,KANSAS,USA,37.908994,-99.403106,2171,-6,-5,America/North_Dakota/New_Salem
KZ,33M,WATER VALLEY MUNICIPAL,,MISSISSIPPI,USA,34.166778,-89.686197,270,-6,-5,America/Indiana/Tell_City
KZ,33N,DELAWARE AIRPARK,,DELAWARE,USA,39.218375,-75.596428,56,-5,-4,America/New_York
KZ,33R,GROVETON TRINITY CO,,TEXAS,USA,31.084906,-95.164103,340,-6,-5,America/Indiana/Tell_City
KZ,33S,PRU FLD,,WASHINGTON,USA,47.124872,-118.392753,1796,-8,-7,America/Los_Angeles
KZ,33U,DUTCH JOHN,,UTAH,USA,40.917736,-109.390692,6561,-7,-6,America/Denver
KZ,33V,WALDEN JACKSON CO,,COLORADO,USA,40.749978,-106.271414,8149,-7,-6,America/Denver
KZ,34A,LAURENS COUNTY,,SOUTH CAROLINA,USA,34.507056,-81.947194,697,-5,-4,America/Kentucky/Monticello
KZ,34AZ,MEMORIAL AIRFIELD,,ARIZONA,USA,33.243383,-111.913089,1185,-7,-7,America/Phoenix
KZ,34M,CAMPBELL MUNI,,MISSOURI,USA,36.486172,-90.008425,284,-6,-5,America/Indiana/Tell_City
KZ,34R,HALLETTSVILLE MUNI,,TEXAS,USA,29.389958,-96.956061,278,-6,-5,America/Indiana/Tell_City
KZ,35A,UNION COUNTY TROY SHELTON FLD,,SOUTH CAROLINA,USA,34.686492,-81.641764,605,-5,-4,America/Kentucky/Monticello
KZ,35AZ,CONTINENTAL,,ARIZONA,USA,31.843694,-110.97675,2869,-7,-7,America/Phoenix
KZ,35D,PADGHAM FLD,,MICHIGAN,USA,42.530983,-85.825136,708,-5,-4,America/Indiana/Winamac
KZ,35S,WASCO STATE,,OREGON,USA,45.589444,-120.674167,1503,-8,-7,America/Los_Angeles
KZ,36CA,STONE LAND CO,,CALIFORNIA,USA,36.131897,-119.985692,265,-8,-7,America/Los_Angeles
KZ,36CN,BLACKWELL LAND COMPANY INC,,CALIFORNIA,USA,35.636353,-120.009311,760,-8,-7,America/Los_Angeles
KZ,36K,LAKIN,,KANSAS,USA,37.969464,-101.255447,3077,-6,-5,America/North_Dakota/New_Salem
KZ,36MI,TECUMSEH PRODUCTS,,MICHIGAN,USA,42.032667,-83.878306,791,-5,-4,America/Detroit
KZ,36NC,GREENSBORO NORTH,,NORTH CAROLINA,USA,36.253611,-79.908056,900,-5,-4,America/Kentucky/Monticello
KZ,36S,HAPPY CAMP,,CALIFORNIA,USA,41.790681,-123.388944,1209,-8,-7,America/Los_Angeles
KZ,36U,HEBER CITY MUNI RUSS MCDONALD FLD,,UTAH,USA,40.481806,-111.428806,5637,-7,-6,America/Shiprock
